Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=a84d6d4e363935007adfef754b21c2a0&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=YC&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691417&legendRef=reference&legendPub=published&legendNor=
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_11Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_12Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_13Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_14Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_15Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_16Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_17Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_18Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_19Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_20Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_21Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_22Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_23Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_24Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_25Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_26Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_27Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_28Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_29Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_30Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y
2020-08-26,-0.390873,-0.344145,-0.300445,-0.260038,-0.222958,-0.189092,-0.158244,-0.130179,-0.104643,-0.081389,-0.618211,-0.060180,-0.040798,-0.023048,-0.006751,0.008248,0.022089,0.034894,0.046768,0.057808,0.068095,-0.653615,0.077701,-0.580103,-0.665220,-0.654593,-0.626692,-0.593393,-0.587003,-0.540333,-0.490434,-0.440010
2020-08-25,-0.412150,-0.365913,-0.322565,-0.282408,-0.245500,-0.211751,-0.180981,-0.152962,-0.127454,-0.104212,-0.618386,-0.083006,-0.063621,-0.045863,-0.029556,-0.014545,-0.000691,0.012126,0.024014,0.035066,0.045364,-0.658708,0.054982,-0.575843,-0.674310,-0.666914,-0.641592,-0.590694,-0.603932,-0.558835,-0.510137,-0.460617
2020-08-24,-0.478225,-0.433879,-0.392248,-0.353655,-0.318175,-0.285730,-0.256150,-0.229221,-0.204708,-0.182378,-0.633759,-0.162008,-0.143390,-0.126337,-0.110679,-0.096267,-0.082967,-0.070664,-0.059253,-0.048645,-0.038760,-0.688654,-0.029529,-0.575563,-0.714112,-0.713629,-0.693388,-0.596191,-0.659658,-0.617754,-0.571758,-0.524593
2020-08-21,-0.476416,-0.430951,-0.388244,-0.348630,-0.312192,-0.278855,-0.248451,-0.220762,-0.195550,-0.172577,-0.643685,-0.151617,-0.132457,-0.114905,-0.098788,-0.083951,-0.070260,-0.057593,-0.045844,-0.034922,-0.024745,-0.695658,-0.015239,-0.589541,-0.719566,-0.718056,-0.696910,-0.608568,-0.662237,-0.619309,-0.572220,-0.523923
2020-08-20,-0.485904,-0.441964,-0.400673,-0.362360,-0.327109,-0.294851,-0.265424,-0.238620,-0.214211,-0.191967,-0.642358,-0.171669,-0.153112,-0.136112,-0.120500,-0.106128,-0.092865,-0.080594,-0.069213,-0.058631,-0.048771,-0.694922,-0.039563,-0.586979,-0.719277,-0.718507,-0.698466,-0.606554,-0.665193,-0.623850,-0.578428,-0.531799
2020-08-19,-0.446294,-0.400386,-0.357476,-0.317825,-0.281460,-0.248268,-0.218049,-0.190567,-0.165572,-0.142816,-0.633329,-0.122066,-0.103108,-0.085747,-0.069811,-0.055144,-0.041610,-0.029091,-0.017482,-0.006689,0.003368,-0.686094,0.012759,-0.573065,-0.707027,-0.701453,-0.676396,-0.594891,-0.638455,-0.593013,-0.544111,-0.494582
2020-08-18,-0.422838,-0.376812,-0.333879,-0.294268,-0.257984,-0.224894,-0.194790,-0.167428,-0.142552,-0.119913,-0.628751,-0.099274,-0.080422,-0.063161,-0.047318,-0.032738,-0.019286,-0.006843,0.004696,0.015423,0.025417,-0.676425,0.034751,-0.572870,-0.693265,-0.684554,-0.657184,-0.593193,-0.617595,-0.571022,-0.521375,-0.471385
2020-08-17,-0.402036,-0.355517,-0.312233,-0.272373,-0.235914,-0.202701,-0.172512,-0.145089,-0.120171,-0.097501,-0.623531,-0.076842,-0.057974,-0.040702,-0.024850,-0.010264,0.003193,0.015641,0.027183,0.037912,0.047909,-0.670085,0.057245,-0.566214,-0.684399,-0.672909,-0.643013,-0.587336,-0.601325,-0.553098,-0.502192,-0.451266
2020-08-14,-0.395139,-0.349673,-0.307308,-0.268248,-0.232484,-0.199879,-0.170221,-0.143268,-0.118765,-0.096466,-0.624618,-0.076139,-0.057571,-0.040571,-0.024967,-0.010607,0.002642,0.014897,0.026262,0.036827,0.046671,-0.661556,0.055864,-0.580678,-0.671783,-0.659187,-0.629706,-0.596574,-0.589136,-0.542286,-0.492784,-0.443178
2020-08-13,-0.390531,-0.344050,-0.300625,-0.260506,-0.223715,-0.190131,-0.159554,-0.131744,-0.106449,-0.083418,-0.621009,-0.062417,-0.043229,-0.025657,-0.009526,0.005320,0.019019,0.031692,0.043444,0.054369,0.064549,-0.655748,0.074055,-0.582900,-0.666477,-0.655064,-0.626578,-0.596266,-0.586525,-0.539690,-0.489786,-0.439474
2020-08-12,-0.435665,-0.390339,-0.348083,-0.309114,-0.273434,-0.240906,-0.211322,-0.184438,-0.160002,-0.137767,-0.633521,-0.117500,-0.098988,-0.082041,-0.066486,-0.052172,-0.038966,-0.026751,-0.015424,-0.004894,0.004917,-0.683563,0.014079,-0.574260,-0.701573,-0.693555,-0.666744,-0.595924,-0.627723,-0.581769,-0.532791,-0.483502
2020-08-11,-0.452688,-0.407156,-0.364655,-0.325426,-0.289485,-0.256705,-0.226883,-0.199776,-0.175132,-0.152705,-0.635064,-0.132261,-0.113587,-0.096490,-0.080797,-0.066356,-0.053033,-0.040709,-0.029281,-0.018657,-0.008758,-0.690707,0.000486,-0.570328,-0.712663,-0.707298,-0.682178,-0.593945,-0.644157,-0.598726,-0.549951,-0.500657
2020-08-10,-0.506527,-0.463176,-0.422637,-0.385180,-0.350838,-0.319506,-0.290996,-0.265080,-0.241519,-0.220079,-0.643715,-0.200535,-0.182685,-0.166343,-0.151345,-0.137543,-0.124811,-0.113034,-0.102113,-0.091961,-0.082503,-0.709667,-0.073670,-0.568956,-0.739455,-0.740227,-0.720075,-0.596175,-0.686199,-0.644313,-0.598628,-0.552063
2020-08-07,-0.507236,-0.462866,-0.421132,-0.382396,-0.346759,-0.314158,-0.284430,-0.257364,-0.232727,-0.210286,-0.643788,-0.189816,-0.171109,-0.153976,-0.138246,-0.123769,-0.110410,-0.098053,-0.086593,-0.075939,-0.066012,-0.702341,-0.056741,-0.585119,-0.732146,-0.735434,-0.718035,-0.605536,-0.686258,-0.645589,-0.600302,-0.553488
2020-08-06,-0.519628,-0.475820,-0.434619,-0.396383,-0.361211,-0.329039,-0.299708,-0.273006,-0.248703,-0.226568,-0.647837,-0.206378,-0.187929,-0.171033,-0.155521,-0.141245,-0.128073,-0.115887,-0.104587,-0.094082,-0.084294,-0.708662,-0.075153,-0.586335,-0.739818,-0.744020,-0.727344,-0.607842,-0.696217,-0.656174,-0.611504,-0.565293
2020-08-05,-0.483281,-0.440144,-0.399905,-0.362794,-0.328822,-0.297865,-0.269723,-0.244164,-0.220942,-0.199821,-0.648590,-0.180578,-0.163007,-0.146926,-0.132170,-0.118594,-0.106070,-0.094488,-0.083749,-0.073767,-0.064466,-0.703529,-0.055781,-0.586312,-0.726400,-0.722812,-0.699936,-0.608858,-0.664408,-0.621585,-0.575442,-0.528741
2020-08-04,-0.532666,-0.490219,-0.450478,-0.413734,-0.380038,-0.349294,-0.321322,-0.295900,-0.272794,-0.251771,-0.654177,-0.232614,-0.215119,-0.199106,-0.184411,-0.170892,-0.158420,-0.146885,-0.136190,-0.126249,-0.116986,-0.720438,-0.108337,-0.582525,-0.752548,-0.756072,-0.738477,-0.608228,-0.706780,-0.666694,-0.622489,-0.577157
2020-08-03,-0.479127,-0.434419,-0.392835,-0.354591,-0.319673,-0.287928,-0.259130,-0.233022,-0.209339,-0.187826,-0.649244,-0.168247,-0.150386,-0.134051,-0.119070,-0.105294,-0.092590,-0.080845,-0.069956,-0.059837,-0.050410,-0.706900,-0.041608,-0.586029,-0.731716,-0.728640,-0.705045,-0.608626,-0.667992,-0.623236,-0.575048,-0.526378
2020-07-31,-0.493455,-0.449005,-0.407597,-0.369471,-0.334629,-0.302934,-0.274166,-0.248076,-0.224402,-0.202893,-0.648684,-0.183314,-0.165451,-0.149112,-0.134127,-0.120346,-0.107638,-0.095887,-0.084994,-0.074871,-0.065439,-0.709744,-0.056633,-0.582918,-0.737557,-0.736925,-0.715228,-0.606341,-0.679604,-0.635897,-0.588466,-0.540332
2020-07-30,-0.525730,-0.482951,-0.442967,-0.406061,-0.372272,-0.341489,-0.313518,-0.288127,-0.265073,-0.244116,-0.647808,-0.225032,-0.207615,-0.191680,-0.177063,-0.163619,-0.151220,-0.139755,-0.129125,-0.119246,-0.110043,-0.714193,-0.101449,-0.578052,-0.747104,-0.751163,-0.733663,-0.602795,-0.701715,-0.661182,-0.616466,-0.570643
2020-07-29,-0.478568,-0.434941,-0.394320,-0.356936,-0.322788,-0.291735,-0.263562,-0.238017,-0.214845,-0.193797,-0.636615,-0.174640,-0.157166,-0.141184,-0.126528,-0.113051,-0.100623,-0.089133,-0.078482,-0.068583,-0.059361,-0.693667,-0.050751,-0.576286,-0.719638,-0.718378,-0.696745,-0.597590,-0.661576,-0.618545,-0.571901,-0.524603
2020-07-28,-0.474620,-0.432012,-0.392538,-0.356349,-0.323390,-0.293486,-0.266403,-0.241880,-0.219657,-0.199487,-0.637567,-0.181140,-0.164411,-0.149117,-0.135095,-0.122203,-0.110316,-0.099327,-0.089141,-0.079675,-0.070857,-0.698661,-0.062624,-0.565798,-0.723182,-0.718987,-0.694656,-0.592092,-0.657622,-0.613628,-0.566792,-0.519878
2020-07-27,-0.459817,-0.416130,-0.375418,-0.337922,-0.303651,-0.272469,-0.244167,-0.218496,-0.195203,-0.174041,-0.633920,-0.154777,-0.137202,-0.121127,-0.106385,-0.092827,-0.080325,-0.068766,-0.058050,-0.048091,-0.038813,-0.681984,-0.030150,-0.585817,-0.703667,-0.700522,-0.678170,-0.602347,-0.642801,-0.599763,-0.553156,-0.505874
2020-07-24,-0.425282,-0.382412,-0.342615,-0.306070,-0.272741,-0.242471,-0.215033,-0.190174,-0.167636,-0.147172,-0.629561,-0.128555,-0.111576,-0.096051,-0.081816,-0.068727,-0.056659,-0.045502,-0.035160,-0.025548,-0.016595,-0.666819,-0.008235,-0.591471,-0.680528,-0.671859,-0.645949,-0.604490,-0.608517,-0.564508,-0.517691,-0.470712
2020-07-23,-0.456625,-0.412770,-0.371977,-0.334473,-0.300248,-0.269153,-0.240964,-0.215425,-0.192272,-0.171253,-0.632698,-0.152132,-0.134696,-0.118754,-0.104139,-0.090702,-0.078313,-0.066860,-0.056245,-0.046379,-0.037190,-0.680346,-0.028609,-0.586749,-0.702303,-0.699297,-0.676800,-0.602260,-0.641083,-0.597612,-0.550582,-0.502945
2020-07-22,-0.465131,-0.420019,-0.378187,-0.339824,-0.304888,-0.273200,-0.244513,-0.218550,-0.195034,-0.173699,-0.641228,-0.154302,-0.136621,-0.120461,-0.105648,-0.092033,-0.079481,-0.067879,-0.057125,-0.047133,-0.037825,-0.697597,-0.029134,-0.582108,-0.722386,-0.719157,-0.695014,-0.602834,-0.657132,-0.611447,-0.562377,-0.512960
2020-07-21,-0.429230,-0.381587,-0.337250,-0.296486,-0.259294,-0.225516,-0.194907,-0.167188,-0.142069,-0.119273,-0.625154,-0.098543,-0.079645,-0.062371,-0.046537,-0.031981,-0.018564,-0.006160,0.005336,0.016018,0.025969,-0.669461,0.035259,-0.590021,-0.692012,-0.689515,-0.666233,-0.600652,-0.628391,-0.581804,-0.531074,-0.479493
2020-07-20,-0.445144,-0.399951,-0.357959,-0.319398,-0.284252,-0.252358,-0.223476,-0.197334,-0.173656,-0.152174,-0.632177,-0.132645,-0.114845,-0.098578,-0.083668,-0.069964,-0.057331,-0.045654,-0.034832,-0.024776,-0.015410,-0.675883,-0.006664,-0.595690,-0.697421,-0.694545,-0.671769,-0.607073,-0.635226,-0.590525,-0.542050,-0.492913
2020-07-17,-0.428065,-0.381421,-0.338177,-0.298538,-0.262463,-0.229765,-0.200184,-0.173430,-0.149211,-0.127251,-0.633852,-0.107293,-0.089109,-0.072494,-0.057269,-0.043276,-0.030380,-0.018459,-0.007412,0.002853,0.012414,-0.675928,0.021340,-0.598853,-0.695565,-0.690441,-0.665222,-0.609666,-0.626219,-0.579176,-0.528557,-0.477509
2020-07-16,-0.433424,-0.387317,-0.344531,-0.305282,-0.269542,-0.237134,-0.207805,-0.181273,-0.157250,-0.135464,-0.635178,-0.115664,-0.097620,-0.081133,-0.066024,-0.052138,-0.039339,-0.027509,-0.016546,-0.006359,0.003130,-0.675548,0.011989,-0.603438,-0.695104,-0.690653,-0.666394,-0.612910,-0.628404,-0.582314,-0.532547,-0.482236
2020-07-15,-0.393584,-0.345854,-0.302359,-0.263083,-0.227796,-0.196157,-0.167792,-0.142327,-0.119413,-0.098734,-0.628488,-0.080011,-0.063001,-0.047493,-0.033307,-0.020285,-0.008294,0.002781,0.013040,0.022568,0.031441,-0.671517,0.039724,-0.600446,-0.691545,-0.683440,-0.652852,-0.607375,-0.607691,-0.554903,-0.499609,-0.445173
2020-07-14,-0.413393,-0.369316,-0.328185,-0.290213,-0.255406,-0.223641,-0.194722,-0.168420,-0.144495,-0.122710,-0.631899,-0.102843,-0.084689,-0.068062,-0.052797,-0.038747,-0.025782,-0.013788,-0.002664,0.007677,0.017314,-0.668573,0.026313,-0.588190,-0.679125,-0.667491,-0.639443,-0.604044,-0.600578,-0.555532,-0.507811,-0.459888
2020-07-13,-0.388702,-0.343404,-0.301217,-0.262329,-0.226721,-0.194253,-0.164715,-0.137863,-0.113447,-0.091222,-0.630621,-0.070958,-0.052444,-0.035491,-0.019927,-0.005604,0.007613,0.019840,0.031179,0.041720,0.051542,-0.663546,0.060715,-0.589617,-0.670486,-0.655540,-0.624545,-0.604594,-0.583103,-0.535826,-0.486186,-0.436614
2020-07-10,-0.452336,-0.408147,-0.367008,-0.329111,-0.294439,-0.262851,-0.234135,-0.208051,-0.184347,-0.162783,-0.644450,-0.143130,-0.125182,-0.108752,-0.093673,-0.079797,-0.066996,-0.055156,-0.044176,-0.033970,-0.024460,-0.696310,-0.015579,-0.581097,-0.714467,-0.706247,-0.679420,-0.604514,-0.640719,-0.595405,-0.547309,-0.499057
2020-07-09,-0.422908,-0.376975,-0.334141,-0.294630,-0.258444,-0.225449,-0.195436,-0.168159,-0.143363,-0.120798,-0.629922,-0.100229,-0.081441,-0.064239,-0.048450,-0.033922,-0.020517,-0.008118,0.003380,0.014069,0.024028,-0.677067,0.033328,-0.574604,-0.693556,-0.684622,-0.657125,-0.594720,-0.617480,-0.570906,-0.521297,-0.471372
2020-07-08,-0.404654,-0.358999,-0.316584,-0.277573,-0.241925,-0.209477,-0.180002,-0.153243,-0.128937,-0.106832,-0.627112,-0.086692,-0.068303,-0.051471,-0.036026,-0.021815,-0.008705,0.003420,0.014663,0.025115,0.034852,-0.672809,0.043946,-0.569559,-0.685993,-0.673626,-0.643273,-0.590900,-0.601544,-0.553620,-0.503268,-0.453065
2020-07-07,-0.396128,-0.348389,-0.303958,-0.263034,-0.225596,-0.191488,-0.160483,-0.132318,-0.106725,-0.083441,-0.628799,-0.062222,-0.042843,-0.025104,-0.008823,0.006158,0.019979,0.032763,0.044617,0.055637,0.065904,-0.673133,0.075492,-0.574978,-0.686348,-0.674018,-0.643210,-0.594673,-0.600456,-0.551033,-0.498853,-0.446631
2020-07-06,-0.392748,-0.343272,-0.297192,-0.254725,-0.215856,-0.180433,-0.148221,-0.118954,-0.092354,-0.068150,-0.632476,-0.046089,-0.025940,-0.007494,0.009437,0.025016,0.039390,0.052685,0.065014,0.076474,0.087153,-0.677929,0.097126,-0.577927,-0.691771,-0.679373,-0.647857,-0.597814,-0.603906,-0.552955,-0.499059,-0.445044
2020-07-03,-0.401075,-0.351373,-0.305049,-0.262334,-0.223223,-0.187568,-0.155138,-0.125667,-0.098878,-0.074500,-0.635538,-0.052279,-0.031982,-0.013399,0.003657,0.019352,0.033833,0.047227,0.059649,0.071195,0.081954,-0.682783,0.092001,-0.579629,-0.698102,-0.686777,-0.655959,-0.599953,-0.612396,-0.561600,-0.507695,-0.453560
2020-07-02,-0.386808,-0.337167,-0.290908,-0.248253,-0.209196,-0.173585,-0.141193,-0.111752,-0.084987,-0.060629,-0.631745,-0.038424,-0.018140,0.000432,0.017480,0.033168,0.047642,0.061031,0.073448,0.084990,0.095745,-0.674719,0.105789,-0.580394,-0.687301,-0.674301,-0.642509,-0.599051,-0.598422,-0.547377,-0.493383,-0.439248
2020-07-01,-0.364672,-0.316151,-0.270993,-0.229391,-0.191322,-0.156627,-0.125076,-0.096407,-0.070346,-0.046631,-0.622067,-0.025014,-0.005268,0.012812,0.029407,0.044678,0.058768,0.071802,0.083889,0.095125,0.105594,-0.658499,0.115371,-0.576873,-0.666570,-0.650827,-0.617670,-0.593377,-0.573212,-0.522467,-0.469197,-0.416028
2020-06-30,-0.451160,-0.404320,-0.360620,-0.320308,-0.283397,-0.249752,-0.219159,-0.191366,-0.166110,-0.143134,-0.637002,-0.122197,-0.103078,-0.085578,-0.069518,-0.054741,-0.041109,-0.028501,-0.016811,-0.005944,0.004181,-0.694230,0.013636,-0.571701,-0.717398,-0.712447,-0.686989,-0.595367,-0.648079,-0.601420,-0.551252,-0.500524
2020-06-29,-0.420629,-0.372521,-0.327855,-0.286809,-0.249337,-0.215262,-0.184337,-0.156285,-0.130823,-0.107682,-0.639875,-0.086610,-0.067379,-0.049783,-0.033642,-0.018794,-0.005099,0.007565,0.019307,0.030220,0.040387,-0.693476,0.049882,-0.574737,-0.711434,-0.701077,-0.670680,-0.598704,-0.627554,-0.577443,-0.524525,-0.471649
2020-06-26,-0.430363,-0.382938,-0.339294,-0.299529,-0.263516,-0.231005,-0.201688,-0.175241,-0.151350,-0.129721,-0.643379,-0.110090,-0.092220,-0.075904,-0.060961,-0.047234,-0.034586,-0.022898,-0.012069,-0.002007,0.007364,-0.696094,0.016112,-0.589734,-0.717403,-0.709829,-0.680724,-0.608113,-0.637772,-0.587330,-0.534059,-0.481092
2020-06-25,-0.431709,-0.382602,-0.337249,-0.295822,-0.258235,-0.224257,-0.193587,-0.165900,-0.140876,-0.118214,-0.636927,-0.097640,-0.078908,-0.061803,-0.046136,-0.031743,-0.018481,-0.006226,0.005131,0.015681,0.025508,-0.688952,0.034681,-0.592146,-0.713917,-0.710264,-0.683931,-0.606322,-0.642359,-0.592110,-0.538170,-0.483978
2020-06-24,-0.378568,-0.329690,-0.284683,-0.243663,-0.206510,-0.172970,-0.142726,-0.115447,-0.090807,-0.068503,-0.612285,-0.048261,-0.029838,-0.013018,0.002386,0.016535,0.029572,0.041618,0.052780,0.063150,0.072807,-0.655366,0.081823,-0.575772,-0.673562,-0.665002,-0.635274,-0.587039,-0.591482,-0.539894,-0.485250,-0.430798
2020-06-23,-0.385468,-0.335691,-0.289817,-0.247985,-0.210083,-0.175859,-0.144997,-0.117157,-0.092010,-0.069247,-0.609976,-0.048588,-0.029786,-0.012620,0.003100,0.017540,0.030844,0.043138,0.054528,0.065111,0.074967,-0.657291,0.084167,-0.571026,-0.679066,-0.672873,-0.644372,-0.582925,-0.600931,-0.549098,-0.493845,-0.438587
2020-06-22,-0.423582,-0.377485,-0.334427,-0.294587,-0.257958,-0.224416,-0.193772,-0.165803,-0.140278,-0.116965,-0.631441,-0.095646,-0.076118,-0.058197,-0.041714,-0.026520,-0.012482,0.000517,0.012583,0.023807,0.034272,-0.690341,0.044049,-0.549263,-0.706869,-0.694517,-0.663483,-0.580878,-0.621227,-0.573044,-0.522578,-0.472248
2020-06-19,-0.387392,-0.342201,-0.300075,-0.261157,-0.225414,-0.192711,-0.162853,-0.135615,-0.110765,-0.088076,-0.622614,-0.067333,-0.048335,-0.030903,-0.014872,-0.000096,0.013555,0.026195,0.037927,0.048841,0.059016,-0.668896,0.068522,-0.554376,-0.677569,-0.660554,-0.626975,-0.580830,-0.583561,-0.535114,-0.484942,-0.435241
2020-06-18,-0.380166,-0.334806,-0.292499,-0.253396,-0.217470,-0.184589,-0.154561,-0.127162,-0.102162,-0.079332,-0.612978,-0.058457,-0.039338,-0.021792,-0.005656,0.009217,0.022959,0.035684,0.047495,0.058482,0.068725,-0.660224,0.078295,-0.543876,-0.669625,-0.653115,-0.619848,-0.570630,-0.576592,-0.528185,-0.477967,-0.428160
2020-06-17,-0.363349,-0.316288,-0.272449,-0.231972,-0.194816,-0.160834,-0.129818,-0.101531,-0.075731,-0.052178,-0.605960,-0.030647,-0.010932,0.007159,0.023794,0.039125,0.053289,0.066404,0.078577,0.089900,0.100456,-0.656293,0.110319,-0.531724,-0.666136,-0.648582,-0.613503,-0.560532,-0.568099,-0.517459,-0.465068,-0.413220
2020-06-16,-0.349857,-0.302006,-0.257336,-0.216014,-0.178021,-0.143225,-0.111428,-0.082401,-0.055904,-0.031698,-0.606363,-0.009559,0.010724,0.029341,0.046465,0.062252,0.076838,0.090346,0.102885,0.114550,0.125426,-0.650167,0.135587,-0.541248,-0.657027,-0.638198,-0.602558,-0.566476,-0.556801,-0.505785,-0.452905,-0.400444
2020-06-15,-0.374510,-0.327699,-0.284123,-0.243907,-0.207005,-0.173265,-0.142476,-0.114401,-0.088796,-0.065423,-0.614575,-0.044057,-0.024493,-0.006543,0.009964,0.025178,0.039233,0.052247,0.064326,0.075563,0.086038,-0.666475,0.095825,-0.537717,-0.676792,-0.659282,-0.624138,-0.567591,-0.578696,-0.528096,-0.475822,-0.424155
2020-06-12,-0.355062,-0.307805,-0.263902,-0.223449,-0.186376,-0.152513,-0.121636,-0.093497,-0.067847,-0.044442,-0.613605,-0.023054,-0.003474,0.014488,0.031003,0.046222,0.060281,0.073298,0.085379,0.096617,0.107094,-0.661631,0.116881,-0.539669,-0.668468,-0.648026,-0.610510,-0.568588,-0.563203,-0.511164,-0.457799,-0.405314
2020-06-11,-0.340228,-0.293594,-0.250255,-0.210307,-0.173682,-0.140218,-0.109695,-0.081873,-0.056505,-0.033353,-0.605448,-0.012193,0.007181,0.024955,0.041299,0.056361,0.070276,0.083160,0.095119,0.106242,0.116613,-0.647812,0.126301,-0.538764,-0.651861,-0.630313,-0.592640,-0.564902,-0.545686,-0.494248,-0.441580,-0.389803
2020-06-10,-0.258287,-0.207707,-0.160747,-0.117496,-0.077869,-0.041683,-0.008695,0.021358,0.048748,0.073735,-0.588017,0.096562,0.117455,0.136618,0.154234,0.170465,0.185456,0.199335,0.212214,0.224194,0.235361,-0.614758,0.245793,-0.539548,-0.608536,-0.579359,-0.535357,-0.558771,-0.482750,-0.426076,-0.368503,-0.312135
2020-06-09,-0.256947,-0.206326,-0.160174,-0.118415,-0.080793,-0.046963,-0.016545,0.010833,0.035525,0.057850,-0.586366,0.078095,0.096511,0.113316,0.128702,0.142833,0.155850,0.167877,0.179021,0.189373,0.199013,-0.615107,0.208014,-0.549928,-0.614532,-0.588501,-0.544504,-0.562828,-0.489848,-0.430343,-0.370106,-0.311793
2020-06-08,-0.239923,-0.185681,-0.136148,-0.091281,-0.050828,-0.014434,0.018300,0.047768,0.074349,0.098383,-0.584051,0.120179,0.140006,0.158099,0.174664,0.189878,0.203892,0.216841,0.228838,0.239983,0.250362,-0.612836,0.260051,-0.552879,-0.614011,-0.588754,-0.543957,-0.563156,-0.487137,-0.424534,-0.360681,-0.298555
2020-06-05,-0.201125,-0.146466,-0.096628,-0.051536,-0.010918,0.025600,0.058425,0.087964,0.114597,0.138674,-0.585584,0.160503,0.180357,0.198473,0.215057,0.230286,0.244315,0.257276,0.269285,0.280440,0.290829,-0.598450,0.300527,-0.574268,-0.590481,-0.559729,-0.511468,-0.576906,-0.452363,-0.388195,-0.323242,-0.260328
2020-06-04,-0.246643,-0.194168,-0.146321,-0.103036,-0.064051,-0.029009,0.002485,0.030822,0.056369,0.079460,-0.597233,0.100394,0.119433,0.136804,0.152705,0.167308,0.180758,0.193185,0.204699,0.215394,0.225354,-0.618032,0.234652,-0.576261,-0.615181,-0.588298,-0.543363,-0.582617,-0.487321,-0.426046,-0.363824,-0.303471
2020-06-03,-0.287354,-0.239357,-0.195736,-0.156382,-0.121017,-0.089286,-0.060810,-0.035219,-0.012169,0.008651,-0.597673,0.027515,0.044664,0.060306,0.074621,0.087764,0.099870,0.111053,0.121413,0.131036,0.139998,-0.627369,0.148364,-0.562097,-0.628471,-0.604324,-0.562370,-0.574449,-0.509944,-0.452859,-0.395190,-0.339531
2020-06-02,-0.330835,-0.281834,-0.237266,-0.197050,-0.160918,-0.128511,-0.099441,-0.073328,-0.049816,-0.028588,-0.609131,-0.009359,0.008117,0.024055,0.038638,0.052026,0.064356,0.075745,0.086295,0.096095,0.105222,-0.651327,0.113741,-0.565051,-0.662343,-0.644692,-0.606347,-0.579892,-0.555485,-0.498664,-0.440516,-0.384005
2020-06-01,-0.318333,-0.269304,-0.224623,-0.184248,-0.147934,-0.115338,-0.086082,-0.059791,-0.036113,-0.014730,-0.605612,0.004642,0.022250,0.038309,0.053003,0.066494,0.078919,0.090395,0.101027,0.110903,0.120100,-0.636926,0.128685,-0.580992,-0.645148,-0.627819,-0.590693,-0.587796,-0.541047,-0.485150,-0.427593,-0.371395
2020-05-29,-0.359221,-0.313322,-0.271402,-0.233470,-0.199325,-0.168660,-0.141130,-0.116385,-0.094099,-0.073971,-0.597569,-0.055738,-0.039165,-0.024050,-0.010220,0.002477,0.014171,0.024972,0.034978,0.044272,0.052927,-0.633723,0.061006,-0.573041,-0.648823,-0.638606,-0.608127,-0.579263,-0.564446,-0.513812,-0.460875,-0.408727
2020-05-28,-0.340395,-0.294018,-0.251637,-0.213272,-0.178728,-0.147701,-0.119842,-0.094801,-0.072246,-0.051877,-0.585882,-0.033424,-0.016652,-0.001356,0.012640,0.025490,0.037323,0.048254,0.058380,0.067786,0.076544,-0.617263,0.084720,-0.570507,-0.631209,-0.620989,-0.590678,-0.572884,-0.547019,-0.496211,-0.442944,-0.390370
